p,gamma,R,phase
0.673469387755102,0.02040816326530612,0.3150997086959114,Traversable
0.6938775510204082,0.02040816326530612,0.3096821179143568,Traversable
0.7142857142857142,0.02040816326530612,0.3035491914665613,Disconnected
0.7346938775510203,0.02040816326530612,0.2966565672161881,Disconnected
0.7551020408163265,0.02040816326530612,0.2889498846744718,Disconnected
0.7755102040816326,0.02040816326530612,0.28036202057820975,Disconnected
0.7959183673469387,0.02040816326530612,0.2708091561605897,Disconnected
0.8163265306122448,0.02040816326530612,0.26018502125705256,Disconnected
0.836734693877551,0.02040816326530612,0.2483521718468822,Disconnected
0.8571428571428571,0.02040816326530612,0.23512819266094373,Disconnected
0.8775510204081632,0.02040816326530612,0.2202626669577679,Disconnected
0.8979591836734693,0.02040816326530612,0.20339598736234565,Disconnected
0.9183673469387754,0.02040816326530612,0.18397859289402796,Disconnected
0.9387755102040816,0.02040816326530612,0.16109074262612866,Disconnected
0.9591836734693877,0.02040816326530612,0.1329520282839526,Disconnected
0.9795918367346939,0.02040816326530612,0.09500613684496592,Disconnected
1.0,0.02040816326530612,0.0,Disconnected
0.0,0.04081632653061224,0.0,Disconnected
0.02040816326530612,0.04081632653061224,0.09028046293622799,Disconnected
0.04081632653061224,0.04081632653061224,0.1263388983110907,Disconnected
0.061224489795918366,0.04081632653061224,0.15307797266570217,Disconnected
0.08163265306122448,0.04081632653061224,0.17482736471995347,Disconnected
0.1020408163265306,0.04081632653061224,0.19327892395423427,Disconnected
0.12244897959183673,0.04081632653061224,0.20930664271682958,Disconnected
0.14285714285714285,0.04081632653061224,0.22343274642803654,Disconnected
0.16326530612244897,0.04081632653061224,0.23599895533213885,Disconnected
0.18367346938775508,0.04081632653061224,0.2472432302609058,Disconnected
0.2040816326530612,0.04081632653061224,0.2573389130161518,Disconnected
0.22448979591836732,0.04081632653061224,0.26641661105367037,Disconnected
0.24489795918367346,0.04081632653061224,0.2745773085832324,Disconnected
0.26530612244897955,0.04081632653061224,0.2819006551656123,Disconnected
0.2857142857142857,0.04081632653061224,0.28845043530439013,Disconnected
0.3061224489795918,0.04081632653061224,0.29427830555833306,Traversable
0.32653061224489793,0.04081632653061224,0.2994264214590556,Traversable
0.3469387755102041,0.04081632653061224,0.30392932708734977,Traversable
0.36734693877551017,0.04081632653061224,0.30781533930306865,Traversable
0.3877551020408163,0.04081632653061224,0.31110757561856023,Traversable
0.4081632653061224,0.04081632653061224,0.3138247239379873,Traversable
0.42857142857142855,0.04081632653061224,0.315981620276798,Traversable
0.44897959183673464,0.04081632653061224,0.3175896796201791,Traversable
0.4693877551020408,0.04081632653061224,0.31865721096539823,Traversable
0.4897959183673469,0.04081632653061224,0.31918963775433795,Traversable
0.5102040816326531,0.04081632653061224,0.31918963775433795,Traversable
0.5306122448979591,0.04081632653061224,0.31865721096539823,Traversable
0.5510204081632653,0.04081632653061224,0.3175896796201791,Traversable
0.5714285714285714,0.04081632653061224,0.315981620276798,Traversable
0.5918367346938775,0.04081632653061224,0.3138247239379873,Traversable
0.6122448979591836,0.04081632653061224,0.3111075756185603,Traversable
0.6326530612244897,0.04081632653061224,0.30781533930306865,Traversable
0.6530612244897959,0.04081632653061224,0.30392932708734977,Traversable
0.673469387755102,0.04081632653061224,0.2994264214590556,Traversable
0.6938775510204082,0.04081632653061224,0.29427830555833306,Traversable
0.7142857142857142,0.04081632653061224,0.28845043530439013,Disconnected
0.7346938775510203,0.04081632653061224,0.2819006551656123,Disconnected
0.7551020408163265,0.04081632653061224,0.2745773085832325,Disconnected
0.7755102040816326,0.04081632653061224,0.26641661105367037,Disconnected
0.7959183673469387,0.04081632653061224,0.2573389130161519,Disconnected
0.8163265306122448,0.04081632653061224,0.24724323026090583,Disconnected
0.836734693877551,0.04081632653061224,0.23599895533213888,Disconnected
0.8571428571428571,0.04081632653061224,0.2234327464280366,Disconnected
0.8775510204081632,0.04081632653061224,0.2093066427168296,Disconnected
0.8979591836734693,0.04081632653061224,0.19327892395423438,Disconnected
0.9183673469387754,0.04081632653061224,0.17482736471995358,Disconnected
0.9387755102040816,0.04081632653061224,0.15307797266570225,Disconnected
0.9591836734693877,0.04081632653061224,0.1263388983110908,Disconnected
0.9795918367346939,0.04081632653061224,0.09028046293622805,Disconnected
1.0,0.04081632653061224,0.0,Disconnected
0.0,0.061224489795918366,0.0,Disconnected
0.02040816326530612,0.061224489795918366,0.08578984746301169,Disconnected
0.04081632653061224,0.061224489795918366,0.12005471020246702,Disconnected
0.061224489795918366,0.061224489795918366,0.14546376367403185,Disconnected
0.08163265306122448,0.061224489795918366,0.16613132524895943,Disconnected
0.1020408163265306,0.061224489795918366,0.18366509059176495,Disconnected
0.12244897959183673,0.061224489795918366,0.1988955790396851,Disconnected
0.14285714285714285,0.061224489795918366,0.21231904014319283,Disconnected
0.16326530612244897,0.061224489795918366,0.2242601967346559,Disconnected
0.18367346938775508,0.061224489795918366,0.23494517330209425,Disconnected
0.2040816326530612,0.061224489795918366,0.24453868950082386,Disconnected
0.22448979591836732,0.061224489795918366,0.2531648562773955,Disconnected
0.24489795918367346,0.061224489795918366,0.2609196348140036,Disconnected
0.26530612244897955,0.061224489795918366,0.26787871284470594,Disconnected
0.2857142857142857,0.061224489795918366,0.27410270218577665,Disconnected
0.3061224489795918,0.061224489795918366,0.27964068996141705,Traversable
0.32653061224489793,0.061224489795918366,0.2845327348566329,Traversable
0.3469387755102041,0.061224489795918366,0.288811662704672,Traversable
0.36734693877551017,0.061224489795918366,0.2925043818643136,Traversable
0.3877551020408163,0.061224489795918366,0.29563285996613414,Traversable
0.4081632653061224,0.061224489795918366,0.2982148553644374,Traversable
0.42857142857142855,0.061224489795918366,0.30026446612054086,Traversable
0.44897959183673464,0.061224489795918366,0.30179253943001855,Traversable
0.4693877551020408,0.061224489795918366,0.30280697099460885,Traversable
0.4897959183673469,0.061224489795918366,0.3033129144902755,Traversable
0.5102040816326531,0.061224489795918366,0.3033129144902755,Traversable
0.5306122448979591,0.061224489795918366,0.30280697099460885,Traversable
0.5510204081632653,0.061224489795918366,0.30179253943001855,Traversable
0.5714285714285714,0.061224489795918366,0.3002644661205409,Traversable
