N_qubits,gamma,R,traversal_time
4,0.30803030303030304,0.32737487831425416,2.0569570253638267
4,0.31343434343434345,0.32298175324206163,2.0293542064576244
4,0.31883838383838387,0.3186475806099564,2.002121796656801
4,0.3242424242424242,0.3143715693204544,1.9752548253492679
4,0.32964646464646463,0.3101529388920056,1.9487483886248178
4,0.33505050505050504,0.3059909193165367,1.9225976483800378
4,0.34045454545454545,0.3018847509189044,1.8967978314352292
4,0.34585858585858587,0.29783368421823536,1.871344228663181
4,0.3512626262626263,0.29383697979112705,1.8462321941296345
4,0.3566666666666667,0.2898939081366838,1.8214571442452805
4,0.3620707070707071,0.2860037495433642,1.7970145569291363
4,0.3674747474747475,0.2821657939576154,1.7728999707831514
4,0.37287878787878787,0.27837934085427,1.7491089842778873
4,0.3782828282828283,0.2746436991086825,1.7256372549491252
4,0.3836868686868687,0.27095818687058143,1.702480498605258
4,0.3890909090909091,0.26732213143961353,1.6796344885453098
4,0.3944949494949495,0.26373486914255967,1.6570950547874617
4,0.3998989898989899,0.2601957452121968,1.634858083307918
4,0.40530303030303033,0.2567041136677865,1.6129195152899947
4,0.4107070707070707,0.25325933719716687,1.5912753463832794
4,0.4161111111111111,0.24986078704042652,1.5699216259727355
4,0.4215151515151515,0.24650784287514033,1.5488544564576157
4,0.4269191919191919,0.24319989270314407,1.5280699925400467
4,0.43232323232323233,0.23993633273882956,1.5075644405231663
4,0.43772727272727274,0.2367165672989382,1.4873340576186762
4,0.44313131313131315,0.23354000869383323,1.467375151263686
4,0.44853535353535356,0.23040607712023187,1.4476840784467275
4,0.453939393939394,0.22731420055537582,1.428257245042811
4,0.45934343434343433,0.22426381465262304,1.409091105157407
4,0.46474747474747474,0.22125436263843928,1.3901821604792257
4,0.47015151515151515,0.21828529521077347,1.3715269596416904
4,0.47555555555555556,0.21535607043879545,1.3531220975929716
4,0.480959595959596,0.21246615366397995,1.334964214974479
4,0.4863636363636364,0.2096150174025177,1.3170499975076926
4,0.4917676767676768,0.2068021412490362,1.2993761753892217
4,0.49717171717171715,0.20402701178161214,1.2819395226939818
4,0.5025757575757576,0.20128912246805913,1.2647368567863815
4,0.507979797979798,0.19858797357347222,1.2477650377394085
4,0.5133838383838384,0.19592307206901385,1.231020967761515
4,0.5187878787878788,0.1932939315419232,1.2145015906311887
4,0.5241919191919192,0.19070007210673348,1.1982038911391155
4,0.5295959595959596,0.18814102031768073,1.1821248945378275
4,0.535,0.1856163090822875,1.1662616659987335
9,0.0,1.0606601717798212,6.664324407237548
9,0.005404040404040404,1.0464269086237854,6.5748941773023235
9,0.010808080808080808,1.0323846451728944,6.4866640339081405
9,0.016212121212121212,1.018530818354509,6.399617872794651
9,0.021616161616161617,1.0048628994905,6.313739805808587
9,0.02702020202020202,0.9913783938357007,6.229014158003772
9,0.032424242424242425,0.9780748401225506,6.145425464780033
9,0.03782828282828283,0.9649498101118529,6.062958469060526
9,0.04323232323232323,0.952000908149557,5.981598118506919
9,0.04863636363636364,0.9392257707294912,5.901329562771962
9,0.05404040404040404,0.9266220660619622,5.822138150788913
9,0.059444444444444446,0.9141874936481434,5.744009428097346
9,0.06484848484848485,0.9019197838601757,5.666929134204844
9,0.07025252525252526,0.8898166975269012,5.590883199984088
9,0.07565656565656566,0.8778760255251583,5.515857745104886
9,0.08106060606060606,0.8660955883765592,5.441839075500655
9,0.08646464646464647,0.85447323584968,5.368813680868907
9,0.09186868686868688,0.843006846567588,5.296768232205264
9,0.09727272727272727,0.8316943276206361,5.225689579370586
9,0.10267676767676767,0.8205336141844535,5.155564748690721
9,0.10808080808080808,0.8095226691430618,5.086380940588487
9,0.1134848484848485,0.7986594827170502,5.018125527247419
9,0.11888888888888889,0.787942072096738,4.950786050306863
9,0.12429292929292929,0.7773684810802619,4.884350218588014
9,0.1296969696969697,0.7669367797165191,4.81880590585046
9,0.1351010101010101,0.7566450639529012,4.754141148578827
9,0.14050505050505052,0.7464914552877567,4.69034414379914
9,0.1459090909090909,0.7364741004275155,4.627403246924469
9,0.15131313131313132,0.7265911709484159,4.565306969629497
9,0.15671717171717173,0.7168408629627704,4.504043977753614
9,0.1621212121212121,0.7072213967897094,4.443603089232126
9,0.16752525252525252,0.6977310166303451,4.38397327205526
9,0.17292929292929293,0.6883679902472919,4.325143642254525
9,0.17833333333333334,0.6791306086484896,4.267103461916119
9,0.18373737373737375,0.6700171857752686,4.209842137220983
9,0.18914141414141414,0.6610260581946004,4.153349216511151
9,0.19454545454545455,0.6521555847954785,4.097614388382062
9,0.19994949494949496,0.6434041464893747,4.042627479800461
9,0.20535353535353534,0.6347701459147128,3.9883784542475658
9,0.21075757575757575,0.6262520071453098,3.934857409887136
9,0.21616161616161617,0.6178481754027285,3.8820545777581397
9,0.22156565656565658,0.6095571167724917,3.829960319991671
9,0.226969696969697,0.601377317924102,3.7785651280517842
9,0.23237373737373737,0.5933072858348216,3.72785962099995
9,0.23777777777777778,0.5853455475171567,3.6778345437827893
9,0.2431818181818182,0.5774906497499998,3.628480765542791
9,0.24858585858585858,0.5697411588133795,3.579789277951697
9,0.253989898989899,0.5620956602267698,3.531751193566249
9,0.2593939393939394,0.554552758490912,3.484357744206008
9,0.2647979797979798,0.5471110768330989,3.4376002793529286
9,0.2702020202020202,0.5397692569558799,3.391470264572427
9,0.27560606060606063,0.532525958789136,3.345959279955621
9,0.28101010101010104,0.5253798602454834,3.301059018582486
9,0.2864141414141414,0.5183296569789583,3.2567612850056253
9,0.2918181818181818,0.51137406214694,3.2130579937543944
9,0.2972222222222222,0.50451180617527,3.169941167859092
9,0.30262626262626263,0.4977416365265221,3.1274029373949657
9,0.30803030303030304,0.4910623174713811,3.0854355380457394
9,0.31343434343434345,0.48447262986309236,3.044031309686436
9,0.31883838383838387,0.4779713709149345,3.0031826949852007
9,0.3242424242424242,0.4715573539806815,2.962882238023901
9,0.32964646464646463,0.46522940833800835,2.9231225829372263
9,0.33505050505050504,0.458986378974805,2.883896472570056
9,0.34045454545454545,0.4528271263783565,2.845196747152843
9,0.34585858585858587,0.44675052632735296,2.807016342994771
9,0.3512626262626263,0.4407554696866905,2.769348291194451
9,0.3566666666666667,0.43484086220502566,2.7321857163679204
9,0.3620707070707071,0.4290056243150463,2.6955218353937043
9,0.3674747474747475,0.423248690936423,2.6593499561747267
9,0.37287878787878787,0.41756901128140494,2.6236634764168305
9,0.3782828282828283,0.41196554866302376,2.5884558824236876
9,0.3836868686868687,0.4064372803058721,2.5537207479078865
9,0.3890909090909091,0.40098319715942027,2.5194517328179646
9,0.3944949494949495,0.3956023037138394,2.485642582181192
9,0.3998989898989899,0.39029361781829514,2.452287124961877
9,0.40530303030303033,0.3850561705016797,2.419379272934991
9,0.4107070707070707,0.3798890057957502,2.3869130195749184
9,0.4161111111111111,0.3747911805606397,2.3548824389591028
9,0.4215151515151515,0.36976176431271046,2.3232816846864233
9,0.4269191919191919,0.364799839054716,2.2921049888100695
9,0.43232323232323233,0.35990449910824424,2.2613466607847488
9,0.43772727272727274,0.35507485094840724,2.231001086428014
9,0.44313131313131315,0.3503100130407498,2.2010627268955285
9,0.44853535353535356,0.34560911568034774,2.171526117670091
9,0.453939393939394,0.3409713008330637,2.1423858675642165
9,0.45934343434343433,0.3363957219789345,2.1136366577361105
9,0.46474747474747474,0.3318815439576589,2.0852732407188386
9,0.47015151515151515,0.32742794281616017,2.0572904394625353
9,0.47555555555555556,0.3230341056581931,2.029683146389457
9,0.480959595959596,0.3186992304959699,2.002446322461718
9,0.4863636363636364,0.3144225261037765,1.9755749962615385
9,0.4917676767676768,0.31020321187355426,1.9490642630838324
9,0.49717171717171715,0.3060405176724182,1.9229092840409725
9,0.5025757575757576,0.3019336837020887,1.897105285179572
9,0.507979797979798,0.29788196036020825,1.8716475566091124
9,0.5133838383838384,0.29388460810352074,1.8465314516422722
9,0.5187878787878788,0.28994089731288475,1.8217523859467826
9,0.5241919191919192,0.2860501081601002,1.797305836708673
9,0.5295959595959596,0.28221153047652103,1.773187341806741
9,0.535,0.27842446362343115,1.7493924989980998
16,0.0,1.4142135623730951,8.885765876316732
16,0.005404040404040404,1.3952358781650473,8.766525569736432
16,0.010808080808080808,1.376512860230526,8.64888537854419
16,0.016212121212121212,1.3580410911393457,8.53282383039287
16,0.021616161616161617,1.339817199320667,8.418319741078117
16,0.02702020202020202,1.3218378584476012,8.305352210671698
16,0.032424242424242425,1.3040997868300677,8.193900619706712
16,0.03782828282828283,1.2865997468158041,8.083944625414036
16,0.04323232323232323,1.2693345441994095,7.975464158009227
16,0.04863636363636364,1.2523010276393218,7.8684394170292835
16,0.05404040404040404,1.2354960880826165,7.7628508677185515
16,0.059444444444444446,1.2189166581975248,7.658679237463129
16,0.06484848484848485,1.2025597118135678,7.555905512273127
16,0.07025252525252526,1.1864222633692019,7.454510933312118
16,0.07565656565656566,1.1705013673668778,7.354476993473182
16,0.08106060606060606,1.1547941178354124,7.255785434000875
16,0.08646464646464647,1.1392976477995735,7.158418241158544
16,0.09186868686868688,1.1240091287567842,7.062357642940354
16,0.09727272727272727,1.1089257701608484,6.967586105827449
16,0.10267676767676767,1.0940448189126049,6.8740863315876295
16,0.10808080808080808,1.079363558857416,6.781841254117984
16,0.1134848484848485,1.0648793102894005,6.690834036329893
16,0.11888888888888889,1.0505894294623175,6.601048067075817
16,0.12429292929292929,1.036491308107016,6.512466958117352
16,0.1296969696969697,1.022582372955359,6.425074541133947
16,0.1351010101010101,1.0088600852705352,6.338854864771771
16,0.14050505050505052,0.9953219403836757,6.253792191732187
16,0.1459090909090909,0.9819654672366875,6.169870995899292
16,0.15131313131313132,0.9687882279312213,6.087075959505998
16,0.15671717171717173,0.955787817283694,6.005391970338153
