gamma,R,F_bond,T,traversal_time,sigma,V,V_double_prime,stable
0.22613065326633167,0.20088003216632647,0.18341940835293766,4.978095578817963,2.9470940355455775,0.06878227813235162,-2.4354641303005105,-14.217493706594496,False
0.23115577889447236,0.19837219937331602,0.176635261551571,5.041028950423154,2.9656641950603295,0.06623822308183915,-2.46556743685395,-14.380079185046611,False
0.23618090452261306,0.19589567494505375,0.17010204047412736,5.104757929344215,2.9843513684267755,0.06378826517779777,-2.496033857329536,-14.54428364124692,False
0.24120603015075376,0.1934500680206713,0.16381046411287364,5.169292573694748,3.00315629296984,0.06142892404232762,-2.5268675381406167,-14.71011643771169,False
0.24623115577889448,0.19103499261889784,0.1577515947373747,5.234643068743608,3.0220797106604653,0.0591568480265155,-2.5580726668202414,-14.87758677280533,False
0.25125628140703515,0.188650067577142,0.15191682519767186,5.300819728522409,3.041122368144881,0.05696880944912694,-2.589653472253496,-15.046703671436262,False
0.2562814070351759,0.18629491649133434,0.14629786669707834,5.367832997453346,3.0602850167740674,0.05486170001140439,-2.621614224905458,-15.217475975484717,False
0.2613065326633166,0.1839691676565209,0.14088673701722482,5.4356934519976035,3.079568412633399,0.05283252638145931,-2.6539592370445337,-15.3899123339163,False
0.2663316582914573,0.1816724540081984,0.13567574917862474,5.504411802324598,3.0989733165724767,0.05087840594198428,-2.6866928629609257,-15.564021192623045,False
0.271356783919598,0.17940441306438162,0.13065750052065245,5.573998894002328,3.1185004942351524,0.048996562695244675,-2.719819499179973,-15.739810783963435,False
0.2763819095477387,0.1771646868683945,0.12582486218542174,5.644465709709084,3.1381507160897315,0.04718432331953314,-2.753343584670102,-15.917289115804692,False
0.2814070351758794,0.1749529219323748,0.12117096899062368,5.715823370966812,3.1579247574593787,0.04543911337148389,-2.7872696010451126,-16.096463960359074,False
0.2864321608040201,0.17276876918148448,0.11668920967693938,5.788083139896382,3.1778233985527056,0.043758453628852265,-2.821602072760512,-16.27734284267035,False
0.2914572864321608,0.17061188389881668,0.11237321751617234,5.861256420995042,3.1978474244945545,0.04213995656856463,-2.8563455673036118,-16.45993302864997,False
0.2964824120603015,0.16848192567099,0.10821686126675793,5.935354762936359,3.217997625356981,0.04058132297503422,-2.891504695377087,-16.644241512833446,False
0.30150753768844224,0.16637855833442255,0.10421423646380283,6.0103898603928885,3.238274796190421,0.03908033867392607,-2.9270841110756747,-16.830275005687213,False
0.3065326633165829,0.16430144992227638,0.10035965703127983,6.0863735558819165,3.258679737055066,0.03763487138672994,-2.9630885120557138,-17.01803992053783,False
0.31155778894472363,0.1622502726120642,0.09664764720446309,6.16331784163452,3.2792132530524274,0.03624286770167366,-2.999522639697179,-17.207542360061666,False
0.3165829145728643,0.16022470267391067,0.09307293375112932,6.241234861488244,3.299876154357101,0.034902350156673506,-3.036391279257867,-17.39878810245375,False
0.32160804020100503,0.15822442041945894,0.08963043848047317,6.320136912803738,3.3206692562487383,0.03361141443017744,-3.0736992600194046,-17.591782587108696,False
0.32663316582914576,0.15624911015141574,0.08631527102909668,6.4000364484055865,3.341593379144211,0.03236822663591126,-3.111451455424689,-17.786530899785134,False
0.3316582914572864,0.15429846011372564,0.0831227219138233,6.480946078547707,3.3626493486299815,0.031171020717683736,-3.1496527832064167,-17.98303775742363,False
0.33668341708542715,0.1523721624423681,0.08004825584146817,6.562878572903572,3.3838379954946807,0.030018095940550566,-3.188308205506288,-18.181307492504743,False
0.3417085427135678,0.15046991311676813,0.07708750526606063,6.645846862581604,3.405160155761881,0.028907814474772735,-3.227422728984517,-18.38134403684319,False
0.34673366834170855,0.148591411911814,0.07423626418436564,6.729864042166043,3.4266166707230905,0.027838599069137115,-3.2670014049192178,-18.583150904953982,False
0.35175879396984927,0.14673636235047363,0.0714904821608914,6.814943371783621,3.448208386970942,0.026808930810334274,-3.3070493292952654,-18.78673117688777,False
0.35678391959798994,0.14490447165700296,0.06884625857389388,6.901098279196354,3.4699361564325977,0.025817346965210215,-3.34757164288218,-18.992087480537066,False
0.36180904522613067,0.14309545071073784,0.06629983707420493,6.9883423619208065,3.4918008364033644,0.024862438902826852,-3.3885735313006062,-19.199221973404065,False
0.36683417085427134,0.14130901400046356,0.06384760024901244,7.076689389374124,3.5138032895805154,0.02394285009337967,-3.4300602250769066,-19.408136323979306,False
0.37185929648241206,0.13954487957935335,0.06148606448301105,7.166153305047224,3.535944384097335,0.02305727418112914,-3.4720369996854226,-19.618831692258027,False
0.3768844221105528,0.1378027690204699,0.059211875009624486,7.256748228705441,3.5582249935573653,0.022204453128609174,-3.5145091755778872,-19.831308709865425,False
0.38190954773869346,0.13608240737282223,0.05702180114526819,7.348488458616992,3.5806459970688826,0.021383175429475574,-3.5574821181995038,-20.045567459688527,False
0.3869346733668342,0.134383523117971,0.05491273169988284,7.441388473809635,3.6032082792795737,0.02059227438745606,-3.6009612379911795,-20.261607454572072,False
0.3919597989949749,0.132705848127176,0.05288167055721887,7.535462936355826,3.625912730411452,0.01983062645895707,-3.6449519903773506,-20.47942761572847,False
0.3969849246231156,0.1310491176190783,0.05092573241859313,7.630726693686785,3.6487602462959745,0.01909714965697242,-3.6894598757388892,-20.69902625039697,False
0.4020100502512563,0.1294130701179106,0.04904213870407158,7.72719478093582,3.6717517284093923,0.018390802014026836,-3.7344904393705023,-20.920401028627225,False
0.40703517587939697,0.1277974474122295,0.04722821360525541,7.824882423311262,3.6948880839083107,0.017710580101970783,-3.780049271422045,-21.14354895971553,False
0.4120603015075377,0.1262019945141632,0.04548138028406275,7.9238050384994,3.7181702256654985,0.017055517606523535,-3.826142006823151,-21.368466367721,False
0.4170854271356784,0.12462645961916723,0.043799157212106546,8.023978239097811,3.7415990723058887,0.01642468395453996,-3.872774325190574,-21.595148866268687,False
0.4221105527638191,0.12307059406628361,0.04217915464546809,8.125417835079418,3.7651755482428384,0.01581718299205054,-3.9199519507175773,-21.823591332904243,False
0.4271356783919598,0.12153415229889498,0.04061907122985818,8.228139836287747,3.788900583714591,0.01523215171119681,-3.9676806520447596,-22.05378788220753,False
0.4321608040201005,0.12001689182596983,0.039116690731343655,8.332160454963683,3.812775114820989,0.01466875902425387,-4.0159662421116025,-22.285731838461743,False
0.4371859296482412,0.11851857318379064,0.03766987888799467,8.4374961083042,3.8368000835604055,0.014126204582997992,-4.06481457798808,-22.51941570756162,False
0.44221105527638194,0.11703895989816042,0.03627658037798032,8.544163421053417,3.860976437866908,0.013603717641742619,-4.114231560685595,-22.754831147896084,False
0.4472361809045226,0.11557781844708072,0.03493481589980561,8.652179228126434,3.885305131647666,0.013100555962427107,-4.164223134946532,-22.99196894042211,False
0.45226130653266333,0.1141349182238957,0.03364267936054169,8.761560577266321,3.9097871248205855,0.012616004760203133,-4.214795289011653,-23.230818957960764,False
0.457286432160804,0.1127100315008965,0.032398335168055556,8.872324731734691,3.934423383352187,0.012149375688020837,-4.265954054364561,-23.47137013378176,False
0.4623115577889447,0.11130293339337947,0.031200015623391898,8.984489173036314,3.9592148792957143,0.011700005858771966,-4.3177055054524525,-23.71361042877834,False
0.46733668341708545,0.10991340182415375,0.030046018409603397,9.098071603678155,3.9841625908294884,0.011267256903601272,-4.370055759382326,-23.95752679807447,False
0.4723618090452261,0.10854121748849158,0.028934704173461664,9.213089949963276,4.0092675022955095,0.010850514065048127,-4.423010975591772,-24.203105156839,False
0.47738693467336685,0.10718616381951594,0.02786449419661362,9.32956236482012,4.034530604238286,0.010449185323730105,-4.476577355493555,-24.45033034449716,False
0.4824120603015075,0.10584802695402099,0.026833868152875064,9.447507230667483,4.059952893443924,0.01006270055732815,-4.530761142092985,-24.699186088445913,False
0.48743718592964824,0.10452659569871846,0.02584136194847531,9.566943162315775,4.085535372979454,0.009690510730678234,-4.58556861957726,-24.94965496671489,False
0.49246231155778897,0.10322166149690616,0.02488556564218491,9.687889009904891,4.111279052232413,0.009332087115819338,-4.641006112875752,-25.20171836931877,False
0.49748743718592964,0.10193301839555186,0.023965121442371725,9.810363861879301,4.137184946950658,0.008986920540889398,-4.697079987190341,-25.455356458525102,False
0.5025125628140703,0.10066046301278864,0.023078721778139983,9.93438704800069,4.163254079282461,0.008654520666802494,-4.753796647494716,-25.71054812812463,False
0.507537688442211,0.0994037945058159,0.02222510744181235,10.0599781423987,4.189487477816825,0.008334415290679633,-4.811162538001677,-25.967270961669783,False
0.5125628140703518,0.09816281453920105,0.021403065800116104,10.18715696666025,4.215886177624078,0.008026149675043545,-4.869184141597343,-26.22550118916638,False
0.5175879396984925,0.09693732725357682,0.02061142907153229,10.315943592957911,4.242451220296707,0.00772928590182461,-4.927867979241203,-26.48521364272574,False
0.5226130653266332,0.0957271392347297,0.019849072667360666,10.446358347217808,4.269183653990455,0.007443402250260252,-4.987220609330855,-26.74638171115248,False
0.5276381909547738,0.09453205948307394,0.019114913594143863,10.578421812327605,4.296084533465681,0.00716809259780395,-5.047248627030332,-27.00897729290591,False
0.5326633165829145,0.09335189938350674,0.01840790891518109,10.71215483138502,4.323154920128977,0.00690296584319291,-5.107958663560782,-27.272970747937507,False
0.5376884422110553,0.09218647267563997,0.01772705426894607,10.84757851098741,4.350395882075047,0.006647645350854776,-5.169357385452315,-27.538330848210308,False
0.542713567839196,0.09103559542440319,0.017071382442304293,10.984714224562955,4.377808494128837,0.006401768415864112,-5.231451493755756,-27.80502472664034,False
0.5477386934673367,0.089899085991014,0.01643996199650277,11.123583615743954,4.405393837887966,0.006164985748688537,-5.294247723213024,-28.07301782474633,False
0.5527638190954774,0.08877676500431052,0.015831895943980375,11.264208601782746,4.433153001765389,0.0059369609789926385,-5.357752841384799,-28.342273838890833,False
0.5577889447236181,0.08766845533244204,0.015246320474119245,11.40661137701084,4.461087081032338,0.005717370177794716,-5.4219736477341405,-28.612754664822887,False
0.5628140703517588,0.08657398205491272,0.014682403726126685,11.550814416341776,4.489197177861546,0.005505901397297507,-5.486916972664646,-28.884420340784345,False
0.5678391959798995,0.08549317243497474,0.014139344607304805,11.696840478818237,4.51748440137073,0.005302254227739301,-5.552589676511698,-29.15722898916715,False
0.5728643216080402,0.08442585589236583,0.013616371655028721,11.844712611204034,4.545949867666354,0.0051061393706357695,-5.618998648485368,-29.431136756205433,False
0.577889447236181,0.0833718639763871,0.013112741940816946,11.99445415162151,4.574594699887665,0.004917278227806354,-5.6861508055634085,-29.70609775023854,False
0.5829145728643216,0.08233103033931723,0.012627740014936982,12.14608873323488,4.603420028251008,0.004735402505601368,-5.754053091332801,-29.982063978283122,False
0.5879396984924623,0.08130319071015822,0.012160676890046835,12.299640287980205,4.632426990094421,0.004560253833767561,-5.8227124747782675,-30.258985280709112,False
0.592964824120603,0.08028818286870937,0.011710889062428736,12.455133050342443,4.661616729922514,0.004391583398410775,-5.89213594901605,-30.53680926420634,False
0.5979899497487438,0.07928584661996435,0.011277737569424458,12.612591561180325,4.690990399451613,0.004229151588534172,-5.962330529971332,-30.81548123271159,False
0.6030150753768845,0.07829602376882844,0.010860607081733413,12.772040671599527,4.7205491576552205,0.00407272765565003,-6.033303254997496,-31.094944116610804,False
0.6080402010050251,0.07731855809515105,0.010458905029283953,12.933505546874832,4.750294170809731,0.003922089385981483,-6.10506118143547,-31.37513840011502,False
0.6130653266331658,0.07635329532907006,0.010072060759436115,13.097011670421892,4.7802266125404556,0.0037770227847885446,-6.177611385111321,-31.65600204622865,False
0.6180904522613065,0.07540008312666402,0.009699524726320047,13.262584847819168,4.810347663867922,0.003637321772370018,-6.25096095877018,-31.93747041992333,False
0.6231155778894473,0.07445877104590827,0.009340767710158362,13.430251210880723,4.840658513254478,0.0035027878913093872,-6.325117010444585,-32.21947620922151,False
0.628140703517588,0.07352921052293115,0.008995280065463507,13.600037221780525,4.871160356651183,0.003373230024548817,-6.400086661755244,-32.501949344025206,False
0.6331658291457286,0.0726112548485668,0.008662570997042108,13.771969677228874,4.901854397544997,0.003248464123890792,-6.475877046142154,-32.78481691253296,False
0.6381909547738693,0.07170475914520037,0.008342167862777751,13.946075712701644,4.932741847006255,0.003128312948541657,-6.552495307023989,-33.068003075754405,False
0.6432160804020101,0.07080958034390289,0.008033615502201885,14.122382806722928,4.9638239237364745,0.0030126058133257074,-6.6299485958835636,-33.35142897959804,False
0.6482412060301508,0.06992557716185084,0.007736475589898816,14.300918785201933,4.995101854116416,0.0029011783462120568,-6.708244070277206,-33.6350126640566,False
0.6532663316582915,0.0690526100800282,0.007450326012826419,14.481711825824608,5.026576872254476,0.002793872254809907,-6.787388891765687,-33.918668970451336,False
0.6582914572864321,0.06819054132120664,0.007174760270667897,14.664790462500832,5.058250220035401,0.0026905351015004604,-6.867390223764411,-34.20230944610648,False
0.6633165829145728,0.06733923482820059,0.006909386898362802,14.85018358986782,5.0901231471692645,0.00259102008688605,-6.948255229310438,-34.48584224620754,False
0.6683417085427136,0.06649855624239386,0.006653828909996941,15.037920467850467,5.1221969112407795,0.0024951858412488527,-7.029991068743864,-34.76917203293624,False
0.6733668341708543,0.06566837288253434,0.006407723263261144,15.22803072627931,5.154472777758932,0.002402896223722929,-7.11260489730101,-35.05219987211126,False
0.678391959798995,0.06484855372379335,0.0061707203437181436,15.42054436956693,5.186952020206895,0.0023140201288943036,-7.196103862616824,-35.33482312686897,False
0.6834170854271356,0.06403896937708649,0.005942483468144925,15.615491781443406,5.219635920092286,0.002228431300554347,-7.280495102133791,-35.61693534836809,False
0.6884422110552764,0.06323949206865256,0.005722688406244955,15.812903729751714,5.252525766997729,0.002146008152341857,-7.365785740414617,-35.89842616379224,False
0.6934673366834171,0.062449995619887656,0.0055110229200509295,16.01281137130365,5.285622858631737,0.0020666335950190987,-7.45198288635582,-36.17918116098076,False
0.6984924623115578,0.061670355427430684,0.0053071863203636134,16.21524625679723,5.318928500879911,0.0019901948701363556,-7.5390936302993605,-36.459081770184184,False
0.7035175879396985,0.06090044844349776,0.0051108890395967325,16.42024033579622,5.3524440078564695,0.0019165833898487747,-7.6271250410392994,-36.738005142577094,False
0.7085427135678392,0.060140153156462026,0.00492185222042108,16.627825961772604,5.386170701956093,0.0018456945826579052,-7.716084162720421,-37.01582402516965,False
0.7135678391959799,0.05938934957167581,0.004739807319623457,16.83803589721285,5.420109913906108,0.0017774277448587973,-7.805978011625665,-37.29240663282667,False
0.7185929648241206,0.05864791919253242,0.004564495726617749,17.050903318788656,5.454262982818987,0.0017116858974816557,-7.896813572849133,-37.567616516486396,False
0.7236180904522613,0.05791574500176425,0.004395668396066119,17.266461822593108,5.4886312562451876,0.001648375648524795,-7.9885977968513435,-37.84131242807143,False
0.7286432160804021,0.05719271144297432,0.004233085494088489,17.48474542944304,5.523216090226321,0.0015874070602831841,-8.081337595893325,-38.11334818158048,False
0.7336683417085427,0.05647870440239838,0.004076516057557693,17.705788590248446,5.558018849348649,0.0015286935215841353,-8.175039840346061,-38.38357250989179,False
0.7386934673366834,0.05577361119089488,0.0039257376659962906,17.929626191449685,5.593040906796943,0.0014721516247486089,-8.269711354871616,-38.651828919089894,False
0.7437185929648241,0.05507732052615956,0.003780536125608992,18.15629356052351,5.628283644408646,0.0014177010471033721,-8.365358914472319,-38.91795553782595,False
0.7487437185929648,0.054389722515162185,0.003640705165001763,18.38582647155868,5.663748452728404,0.0013652644368756604,-8.461989240404197,-39.181784962524716,False
0.7537688442211056,0.05371070863680256,0.0035060461421553926,18.618261150902043,5.699436731062939,0.0013147673033082718,-8.559608995950697,-39.44314409895287,False
0.7587939698492463,0.05304017172478296,0.0033763677622372806,18.853634282876033,5.735349887536239,0.0012661379108389803,-8.658224782052788,-39.70185399924844,False
0.7638190954773869,0.05237800595069458,0.0032514858058505084,19.091983015568374,5.771489339145133,0.0012193071771939407,-8.757843132791205,-39.957729694991485,False
0.7688442211055276,0.05172410680731484,0.003131222867334184,19.333344966695098,5.8078565118152,0.0011742085752503182,-8.85847051071678,-40.210580025072886,False
